mode,context_id,method,energy_kwh_mean,energy_kwh_ci95,comfort_violation_rate_mean,comfort_violation_rate_ci95,mean_temperature_deviation_mean,mean_temperature_deviation_ci95,action_instability_mean,action_instability_ci95,cumulative_reward_mean,cumulative_reward_ci95,deployment_score_mean,deployment_score_ci95,deployment_score_joint_mean,deployment_score_joint_ci95
hot,vn_hcmc_officemedium,edge_cloud_adaptive,1674.9757423847914,0.0,0.20486111111111108,3.846726523775249e-17,0.0747861464818318,0.0,0.0729334387514326,0.0,-245.12415097773064,0.0,1676.7604981511831,0.0,1676.7604981511831,0.0
hot,vn_hcmc_officemedium,edge_only,3260.834680788219,0.0,0.0763888888888889,0.0,2.390808529324002e-06,0.0,0.0173611111111111,0.0,-391.55153880029894,0.0,3261.4805141215525,0.0,3261.4805181215247,0.0
hot,vn_hcmc_officemedium,ppo_multicontext,3260.834680788219,0.0,0.0763888888888889,0.0,2.390808529324002e-06,0.0,0.0173611111111111,0.0,-391.55153880029894,0.0,3261.4805141215525,0.0,3261.4805141215525,0.0
hot,vn_hcmc_officemedium,ppo_static,3260.834680788219,0.0,0.0763888888888889,0.0,2.390808529324002e-06,0.0,0.0173611111111111,0.0,-391.55153880029894,0.0,3261.4805141215525,0.0,3261.4805141215525,0.0
hot,vn_hcmc_officemedium,static,1660.4431104883552,0.0,0.2083333333333333,0.0,0.0851727724075317,0.0,0.0034722222222222,0.0,-248.3626901653408,0.0,1662.1167215994662,0.0,1662.1167215994662,0.0
hot,vn_hcmc_officesmall,ashrae,135.10231022210792,0.0,1.0,0.0,2.0800038841035633,0.0,0.0034722222222222,0.0,-1214.3445144703053,0.0,143.10925466655237,0.0,143.10925466655237,0.0
hot,vn_hcmc_officesmall,cloud_only,189.43652449548244,0.0,0.2152777777777778,0.0,0.1213518977165222,0.0,0.09371120399898951,1.9233632618876244e-17,-93.98051736176012,0.0,191.34616912570263,0.0,191.6867180923123,0.0
hot,vn_hcmc_officesmall,edge_cloud_adaptive,186.43298767507076,0.0,0.47222222222222215,7.693453047550498e-17,0.1693864398532443,0.0,0.0916441977024078,0.0,-121.25822432339199,1.9695239801729274e-14,190.39405384825332,3.939047960345855e-14,190.39405384825332,3.939047960345855e-14
hot,vn_hcmc_officesmall,edge_only,288.5517868697643,0.0,0.1944444444444444,0.0,0.0022920171419779,0.0,0.0173611111111111,0.0,-36.196416298151014,0.0,290.1420646475421,0.0,290.1420688321607,0.0
hot,vn_hcmc_officesmall,ppo_multicontext,288.5517868697643,0.0,0.1944444444444444,0.0,0.0022920171419779,0.0,0.0173611111111111,0.0,-36.196416298151014,0.0,290.1420646475421,0.0,290.1420646475421,0.0
hot,vn_hcmc_officesmall,ppo_static,288.5517868697643,0.0,0.1944444444444444,0.0,0.0022920171419779,0.0,0.0173611111111111,0.0,-36.196416298151014,0.0,290.1420646475421,0.0,290.1420646475421,0.0
hot,vn_hcmc_officesmall,static,182.34058755636215,0.0,0.5555555555555555,9.73153388072931e-17,0.1410729355282253,0.0,0.0034722222222222,0.0,-103.18888137102128,0.0,186.79197644525107,0.0,186.79197644525107,0.0
